country,iso3
Albania,ALB
Andorra,AND
Austria,AUT
Belarus,BLR
Belgium,BEL
Bosnia and Herzegovina,BIH
Bulgaria,BGR
Croatia,HRV
Cyprus,CYP
Czechia,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Kosovo,XKX
Latvia,LVA
Liechtenstein,LIE
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Moldova,MDA
Monaco,MCO
Montenegro,MNE
Netherlands,NLD
North Macedonia,MKD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
Russian Federation,RUS
San Marino,SMR
Serbia,SRB
Slovak Republic,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkiye,TUR
Ukraine,UKR
United Kingdom,GBR
